pl_name,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,st_mass,st_rad,st_teff,st_met
Kepler-795 b,3.46,1.68,29.6193421,0.1803,0.94,0.96,5631.0,-0.02
Kepler-794 b,5.1,2.11,11.13125132,0.10036,1.19,1.38,5839.0,0.34
Kepler-865 b,6.76,2.49,14.16399294,0.1057,0.93,0.92,5570.0,-0.01
Kepler-909 b,2.76,1.47,13.93290318,0.11873,1.17,1.23,6154.0,0.08
Kepler-916 b,3.75,1.76,32.2968798,0.1885,0.85,0.81,5248.0,-0.05
Kepler-845 b,4.82,2.04,0.927859821,0.01668,0.79,0.75,4913.0,0.01
Kepler-844 b,3.46,1.68,2.613020856,0.0298,0.59,0.57,4128.0,-0.24
Kepler-792 b,4.5,1.96,11.30119217,0.0988,1.09,1.12,5971.0,0.08
Kepler-791 b,9.53,3.05,14.5539759,0.1256,1.3,1.47,6383.0,0.06
Kepler-862 b,5.52,2.21,3.148664534,0.039,0.88,0.84,5333.0,0.04
Kepler-861 b,5.82,2.28,3.949631375,0.0463,0.82,0.78,5047.0,0.01
Kepler-930 b,5.18,2.13,71.4517775,0.34593,1.25,1.4,6335.0,0.04
Kepler-842 b,3.19,1.6,1.21956827,0.0204,0.78,0.73,4848.0,-0.02
Kepler-841 b,23.8,5.23,124.4198398,0.479,0.85,0.81,5324.0,-0.09
Kepler-790 b,5.39,2.18,13.73469807,0.101,0.84,0.8,5208.0,-0.05
Kepler-788 b,7.04,2.55,8.39846269,0.0835,1.16,1.23,6159.0,0.05
Kepler-860 b,10.6,3.24,5.101379454,0.058,1.04,1.06,5836.0,0.09
Kepler-924 b,9.64,3.07,61.0370117,0.31318,1.14,1.23,6167.0,0.01
Kepler-923 b,2.48,1.38,6.93366476,0.07592,1.11,1.26,5988.0,0.07
Kepler-838 b,7.9,2.73,15.74957994,0.1266,0.98,0.96,5770.0,-0.06
Kepler-837 b,7.08,2.56,16.56059504,0.1144,0.85,0.81,5403.0,-0.18
Kepler-787 b,2.18,1.28,0.928310498,0.0159,0.65,0.62,4248.0,-0.09
Kepler-465 b,9.01,2.95,9.940672466,0.09195,1.23,1.29,6310.0,0.09
Kepler-856 b,63.3,9.3,8.027680595,0.0787,0.96,0.93,5535.0,0.12
Kepler-890 b,58.6,8.89,52.75875577,0.2944,1.09,1.13,5954.0,0.09
Kepler-927 b,3.61,1.72,9.1149903,0.0866,0.99,0.99,5743.0,0.03
Kepler-926 b,5.95,2.31,52.0688601,0.2739,1.01,1.01,5806.0,0.03
Kepler-892 b,8.3,2.81,13.7521072,0.1015,0.75,0.72,4747.0,-0.04
Kepler-933 b,6.62,2.46,14.20443009,0.1041,0.87,0.84,5346.0,-0.02
Kepler-826 b,2.1,1.25,4.48758907,0.05202,1.05,1.15,6079.0,-0.12
Kepler-830 b,3.53,1.7,11.29695137,0.1033,1.07,1.11,6037.0,-0.02
Kepler-829 b,5.1,2.11,6.88337562,0.0678,0.98,0.97,5698.0,0.03
Kepler-895 b,2.99,1.54,2.806242328,0.0328,0.65,0.61,4315.0,-0.16
Kepler-743 b,1.92,1.21,3.179262921,0.04166,0.94,0.85,5486.0,0.01
Kepler-823 b,3.09,1.57,4.16809082,0.0507,0.98,0.96,5643.0,0.06
Kepler-487 c,7.65,2.68,38.6519976,0.21864,0.91,0.88,5444.0,0.0
Kepler-898 b,2.83,1.49,5.8706191,0.0545,0.65,0.62,4223.0,-0.06
Kepler-899 b,7.65,2.68,19.17891293,0.1392,0.93,0.91,5595.0,-0.06
Kepler-747 b,24.1,5.27,35.61760587,0.1916,0.82,0.78,5096.0,-0.03
Kepler-821 b,2.27,1.31,1.92279873,0.029,0.84,0.8,5191.0,-0.03
Kepler-498 b,9.43,3.03,9.61375356,0.0897,0.98,0.96,5744.0,-0.04
