pl_name,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,st_mass,st_rad,st_teff,st_met,pl_masse,log_mass,log_radius,log_period,mass_radius_ratio
Kepler-1964 b,3.83,1.7810587,2.440829992,0.0322,0.752,0.698,4803.0,-0.08,3.83,0.5831987739686227,0.2506782331443123,0.38753753111422423,2.150406384696922
Wolf 327 b,2.53,1.24,0.5734745,0.01,0.405,0.406,3542.0,-0.17,2.53,0.40312052117581787,0.09342168516223506,-0.24148588858312034,2.040322580645161
Kepler-62 f,35.0,1.41,267.291,0.718,0.69,0.64,4925.0,-0.37,35.0,1.5440680443502757,0.14921911265537988,2.4269843358005296,24.822695035460995
TOI-5789 c,5.0,2.86,12.927748,0.1009,0.821,0.833,5185.0,-0.12,5.0,0.6989700043360189,0.456366033129043,1.1115228778305644,1.7482517482517483
HATS-44 b,177.9848,11.960003,2.7439004,0.03649,0.86,0.847,5080.0,0.32,177.9848,2.2503829149044376,1.0777312885891213,0.43836834299847083,14.881668507942683
Kepler-132 b,1.92,1.21,6.178196,0.067,0.929,1.178,6003.0,-0.2159,1.92,0.28330122870354957,0.08278537031645007,0.7908616819466908,1.5867768595041323
Kepler-49 b,9.77,2.579,7.2,0.05929,0.607,0.618,4095.6,0.03,9.77,0.989894563718773,0.41145134213793755,0.8573324964312685,3.7882900348972464
Kepler-218 c,10.0,3.14,44.699576,0.248,1.019,1.063,5502.0,0.37,10.0,1.0,0.49692964807321494,1.6503034036300648,3.184713375796178
GJ 328 c,21.4,4.91,241.8,0.657,0.65,0.63,3897.0,-0.06,21.4,1.3304137733491908,0.6910814921229684,2.383456296524753,4.358452138492871
K2-212 b,7.51,2.65,9.795647,0.0785,0.622,0.678,4349.0,0.03,7.51,0.8756399370041684,0.42324587393680785,0.9910331263185016,2.8339622641509434
GJ 806 b,1.9,1.331,0.9263237,0.01406,0.413,0.4144,3600.0,-0.28,1.9,0.2787536009528289,0.12417805547467511,-0.03323722437834295,1.4274981217129976
GJ 806 c,5.8,2.28,6.64064,0.0523,0.413,0.4144,3600.0,-0.28,5.8,0.7634279935629372,0.35793484700045375,0.8222099370599109,2.5438596491228074
HD 110067 b,5.69,2.2,9.113678,0.0793,0.798,0.788,5266.0,-0.2,5.69,0.7551122663950712,0.3424226808222063,0.9596936802379186,2.5863636363636364
HD 110067 c,6.3,2.388,13.673694,0.1039,0.798,0.788,5266.0,-0.2,6.3,0.7993405494535817,0.3780343224573315,1.135885856710834,2.6381909547738696
HD 110067 d,8.52,2.852,20.519617,0.1362,0.798,0.788,5266.0,-0.2,8.52,0.9304395947667001,0.45514952117982793,1.3121692503803788,2.9873772791023843
HD 110067 e,3.9,1.94,30.793091,0.1785,0.798,0.788,5266.0,-0.2,3.9,0.5910646070264992,0.287801729930226,1.4884532854237005,2.0103092783505154
HD 110067 f,5.04,2.601,41.05854,0.2163,0.798,0.788,5266.0,-0.2,5.04,0.7024305364455253,0.41514035219587275,1.6134035022382534,1.9377162629757785
HD 110067 g,8.4,2.607,54.76992,0.2621,0.798,0.788,5266.0,-0.2,8.4,0.9242792860618817,0.41614103116832896,1.738542106574505,3.2220943613348676
TOI-6894 b,53.39517238,9.5836785,3.37077196,0.02604,0.207,0.2276,3007.0,0.142,53.39517238,1.7275019929179898,0.9815322361785949,0.5277293725555033,5.571469491594486
IRAS 04125+2902 b,80.8,10.73820351,8.834978,0.077,0.7,1.45,4080.0,,80.8,1.9074113607745862,1.0309316304367262,0.9462054724063937,7.524536103711821
HIP 67522 c,48.3,7.93595834,14.334892,0.1228,1.22,1.38,5675.0,0.0,48.3,1.6839471307515121,0.8995993793130067,1.1563944252922185,6.086221465724075
TOI-771 c,2.87,1.5,7.61,0.046,0.22,0.232,3370.0,-0.13,2.87,0.4578818967339923,0.17609125905568124,0.8813846567705729,1.9133333333333333
TOI-2076 e,4.7,1.301,3.0223753,0.03863,0.849,0.758,5187.0,-0.09,4.7,0.6720978579357175,0.11427729656158624,0.4803483913726447,3.6126056879323603
L 98-59 f,2.8,1.48,23.064,0.1052,0.2923,0.3155,3415.0,-0.46,2.8,0.4471580313422192,0.17026171539495738,1.3629346293801514,1.8918918918918919
55 Cnc B b,3.5,1.69,6.7994,0.044,0.26,0.274,3286.0,0.16,3.5,0.5440680443502757,0.22788670461367352,0.8324705909141997,2.0710059171597632
55 Cnc B c,5.3,2.16,33.747,0.13,0.26,0.274,3286.0,0.16,5.3,0.724275869600789,0.3344537511509309,1.5282351714972637,2.4537037037037033
GJ 3090 c,10.0,3.14,15.9407,0.0997,0.519,0.516,3707.0,0.12,10.0,1.0,0.49692964807321494,1.2025073885445579,3.184713375796178
TOI-4336 A c,1.55,1.251,7.587266,0.05092,0.306,0.326,3307.0,0.14,1.55,0.1903316981702915,0.09725730969341992,0.880085310149098,1.2390087929656277
TOI-260 b,4.23,1.71,13.475853,0.0943,0.616,0.607,4026.0,-0.47,4.23,0.6263403673750424,0.23299611039215382,1.1295562648768296,2.473684210526316
Kepler-12 b,137.30256,19.660586,4.4379629,0.0553,1.166,1.483,5947.0,0.07,137.30256,2.1376786347131493,1.293596458194673,0.6471836673433474,6.983645350143684
KOI-94 b,10.5,1.71,3.743208,0.05119,1.277,1.52,6182.0,0.0228,10.5,1.021189299069938,0.23299611039215382,0.5732439603611228,6.140350877192983
Kepler-167 d,2.06,1.238,21.80379,0.1404,0.777,0.749,4884.0,0.02,2.06,0.31386722036915343,0.09272064468409917,1.3385319905323056,1.6639741518578353
Kepler-51 d,7.6,9.7,130.194,0.509,1.04,0.94,6018.0,0.05,7.6,0.8808135922807914,0.9867717342662449,2.114590970200422,0.7835051546391752
Kepler-51 c,4.0,9.0,85.312,0.384,1.04,0.94,6018.0,0.05,4.0,0.6020599913279624,0.9542425094393249,1.9310101233977464,0.4444444444444444
Qatar-8 b,117.91493,14.403565,3.71495,0.0474,1.029,1.315,5738.0,0.025,117.91493,2.071568797513283,1.1584699968319647,0.5699529729094541,8.186510075804149
Kepler-74 b,200.22,10.76,7.340711,0.0781,1.18,1.12,6000.0,0.42,200.22,2.3015074570384364,1.0318122713303703,0.8657381264586071,18.607806691449813
K2-140 b,295.58041851,13.56286665,6.569188,0.068,0.96,1.06,5585.0,0.1,295.58041851,2.4706756597135278,1.1323514917949609,0.8175116908819576,21.79335874470166
HD 184010 c,95.3485221,11.8,484.3,1.334,1.35,4.86,4971.0,-0.17,95.3485221,1.9793139658792551,1.0718820073061255,2.6851144690465394,8.080383228813558
EPIC 201595106 b,7.67,1.565,0.87724,0.0177,0.958,0.98,5679.0,0.01,7.67,0.884795363948981,0.19451434188246727,-0.05688157377607562,4.900958466453674
